STATION,DATE,HOUR,REPORT_TYPE,SOURCE,HourlyDryBulbTemperature
USW00013958,1/1/2020,0:00:00,FM-12,220,54
USW00013958,1/1/2020,0:51:00,FM-15,343,53
USW00013958,1/1/2020,1:51:00,FM-15,343,52
USW00013958,1/1/2020,2:51:00,FM-15,343,52
USW00013958,1/1/2020,3:51:00,FM-15,343,52
USW00013958,1/1/2020,4:51:00,FM-15,343,52
USW00013958,1/1/2020,5:51:00,FM-15,343,51
USW00013958,1/1/2020,6:00:00,FM-12,220,51
USW00013958,1/1/2020,6:51:00,FM-15,343,51
USW00013958,1/1/2020,7:51:00,FM-15,343,52
USW00013958,1/1/2020,8:51:00,FM-15,343,53
USW00013958,1/1/2020,9:51:00,FM-15,343,53
USW00013958,1/1/2020,10:51:00,FM-15,343,55
USW00013958,1/1/2020,11:51:00,FM-15,343,57
USW00013958,1/1/2020,12:00:00,FM-12,220,57
USW00013958,1/1/2020,12:51:00,FM-15,343,56
USW00013958,1/1/2020,13:51:00,FM-15,343,57
USW00013958,1/1/2020,14:51:00,FM-15,343,57
USW00013958,1/1/2020,15:51:00,FM-15,343,56
USW00013958,1/1/2020,16:51:00,FM-15,343,56
USW00013958,1/1/2020,17:51:00,FM-15,343,55
USW00013958,1/1/2020,18:00:00,FM-12,220,55
USW00013958,1/1/2020,18:19:00,FM-16,343,55
USW00013958,1/1/2020,18:37:00,FM-16,343,55
USW00013958,1/1/2020,18:51:00,FM-15,343,55
USW00013958,1/1/2020,19:51:00,FM-15,343,55
USW00013958,1/1/2020,20:51:00,FM-15,343,55
USW00013958,1/1/2020,21:44:00,FM-16,343,54
USW00013958,1/1/2020,21:51:00,FM-15,343,54
USW00013958,1/1/2020,22:13:00,FM-16,343,54
USW00013958,1/1/2020,22:46:00,FM-16,343,54
USW00013958,1/1/2020,22:51:00,FM-15,343,54
USW00013958,1/1/2020,23:00:00,FM-16,343,53
USW00013958,1/1/2020,23:51:00,FM-15,343,53
USW00013958,1/1/2020,23:58:00,FM-16,343,53
USW00013958,1/2/2020,0:00:00,FM-12,220,53
USW00013958,1/2/2020,0:08:00,FM-16,343,53
USW00013958,1/2/2020,0:51:00,FM-15,343,53
USW00013958,1/2/2020,1:51:00,FM-15,343,53
USW00013958,1/2/2020,2:42:00,FM-16,343,53
USW00013958,1/2/2020,2:51:00,FM-15,343,53
USW00013958,1/2/2020,3:16:00,FM-16,343,53
USW00013958,1/2/2020,3:51:00,FM-15,343,53
USW00013958,1/2/2020,4:18:00,FM-16,343,53
USW00013958,1/2/2020,4:51:00,FM-15,343,52
USW00013958,1/2/2020,5:51:00,FM-15,343,52
USW00013958,1/2/2020,6:00:00,FM-12,220,52
USW00013958,1/2/2020,6:51:00,FM-15,343,51
USW00013958,1/2/2020,7:08:00,FM-16,343,51
USW00013958,1/2/2020,7:17:00,FM-16,343,51
USW00013958,1/2/2020,7:49:00,FM-16,343,52
USW00013958,1/2/2020,7:51:00,FM-15,343,52
USW00013958,1/2/2020,8:51:00,FM-15,343,53
USW00013958,1/2/2020,9:51:00,FM-15,343,55
USW00013958,1/2/2020,10:51:00,FM-15,343,56
USW00013958,1/2/2020,11:51:00,FM-15,343,57
USW00013958,1/2/2020,12:00:00,FM-12,220,57
USW00013958,1/2/2020,12:51:00,FM-15,343,58
USW00013958,1/2/2020,13:51:00,FM-15,343,59
USW00013958,1/2/2020,14:51:00,FM-15,343,60
USW00013958,1/2/2020,15:51:00,FM-15,343,59
USW00013958,1/2/2020,16:51:00,FM-15,343,60
USW00013958,1/2/2020,17:51:00,FM-15,343,58
USW00013958,1/2/2020,18:00:00,FM-12,220,58
USW00013958,1/2/2020,18:51:00,FM-15,343,55
USW00013958,1/2/2020,19:51:00,FM-15,343,54
USW00013958,1/2/2020,20:51:00,FM-15,343,53
USW00013958,1/2/2020,21:51:00,FM-15,343,52
USW00013958,1/2/2020,22:51:00,FM-15,343,50
USW00013958,1/2/2020,23:51:00,FM-15,343,50
USW00013958,1/3/2020,0:00:00,FM-12,220,50
USW00013958,1/3/2020,0:51:00,FM-15,343,52
USW00013958,1/3/2020,1:51:00,FM-15,343,51
USW00013958,1/3/2020,2:51:00,FM-15,343,52
USW00013958,1/3/2020,3:51:00,FM-15,343,53
USW00013958,1/3/2020,4:51:00,FM-15,343,52
USW00013958,1/3/2020,5:51:00,FM-15,343,51
USW00013958,1/3/2020,6:00:00,FM-12,220,51
USW00013958,1/3/2020,6:51:00,FM-15,343,51
USW00013958,1/3/2020,7:51:00,FM-15,343,50
USW00013958,1/3/2020,8:51:00,FM-15,343,53
USW00013958,1/3/2020,9:51:00,FM-15,343,56
USW00013958,1/3/2020,10:51:00,FM-15,343,60
USW00013958,1/3/2020,11:51:00,FM-15,343,63
USW00013958,1/3/2020,12:00:00,FM-12,220,63
USW00013958,1/3/2020,12:51:00,FM-15,343,64
USW00013958,1/3/2020,13:51:00,FM-15,343,64
USW00013958,1/3/2020,14:51:00,FM-15,343,64
USW00013958,1/3/2020,15:51:00,FM-15,343,63
USW00013958,1/3/2020,16:51:00,FM-15,343,63
USW00013958,1/3/2020,17:51:00,FM-15,343,60
USW00013958,1/3/2020,18:00:00,FM-12,220,60
USW00013958,1/3/2020,18:51:00,FM-15,343,57
USW00013958,1/3/2020,19:51:00,FM-15,343,56
USW00013958,1/3/2020,20:51:00,FM-15,343,54
USW00013958,1/3/2020,21:51:00,FM-15,343,52
USW00013958,1/3/2020,22:51:00,FM-15,343,50
USW00013958,1/3/2020,23:51:00,FM-15,343,49
USW00013958,1/4/2020,0:00:00,FM-12,220,49
USW00013958,1/4/2020,0:51:00,FM-15,343,49
USW00013958,1/4/2020,1:51:00,FM-15,343,47
USW00013958,1/4/2020,2:51:00,FM-15,343,46
USW00013958,1/4/2020,3:51:00,FM-15,343,45
USW00013958,1/4/2020,4:51:00,FM-15,343,45
USW00013958,1/4/2020,5:51:00,FM-15,343,45
USW00013958,1/4/2020,6:00:00,FM-12,220,45
USW00013958,1/4/2020,6:51:00,FM-15,343,44
USW00013958,1/4/2020,7:51:00,FM-15,343,45
USW00013958,1/4/2020,8:51:00,FM-15,343,47
USW00013958,1/4/2020,9:51:00,FM-15,343,54
USW00013958,1/4/2020,10:51:00,FM-15,343,60
USW00013958,1/4/2020,11:51:00,FM-15,343,65
USW00013958,1/4/2020,12:00:00,FM-12,220,65
USW00013958,1/4/2020,12:51:00,FM-15,343,68
USW00013958,1/4/2020,13:51:00,FM-15,343,72
USW00013958,1/4/2020,14:51:00,FM-15,343,72
USW00013958,1/4/2020,15:51:00,FM-15,343,72
USW00013958,1/4/2020,16:51:00,FM-15,343,70
